LON,LAT,EDO,CLAVE,ESTACION,feb-24
-97.2175,21.471667,VER,ISLALOBOSmar,"Isla Lobos, Ver. SEMAR*",15.8
-94.666667,17.95,VER,JALVC,"Jaltipán, Ver.",26.4
-95.033333,17.433333,VER,JCRVC,"Jesús Carranza, Ver.",53.01
-94.088889,17.873611,VER,JDCVC,"San José del Carmen, Ver.",43.5
-97.021111,19.603611,VER,JOYVC,"La Joya, Ver.",5.32
-95.35,18.25,VER,LAUVC,"Lauchapan, Ver.",10.51
-94.330833,18.109444,VER,LCAVC,"La Cangrejera, Ver.",35.5
-95.118333,18.415833,VER,LDCVC,"Canseco, Ver.",8.29
-97.231944,18.922778,VER,LGRVC,"Loma Grande, Ver.",0
-96.411111,19.261389,VER,LOFVC,"Loma Fina, Ver.",2
-94.916667,17.416667,VER,LPEVC,"Las Perlas, Ver.",15
-97.1,19.65,VER,LVRVC,"Las Vigas de Ramírez, Ver.",15.7
-97.048333,20.0675,VER,MDTVC,"Martínez de la Torre, Ver.",70.51
-96.333333,19.15,VER,MFAVC,"Manlio Fabio Altamirano, Ver.",3.02
-98.045,20.8325,VER,MILVC,"Milcahual, Ver.",19
-94.771111,18.135278,VER,MNZVC,"Minzapan, Ver.",23.43
-97.097778,20.421944,VER,MRRVC,"El Morro Protección Civil, Ver.",8
-96.872222,19.65,VER,NAOVC,"Naolinco, Ver.",13.6
-98.5125,21.840278,VER,OLVVC,"El Olivo, Ver.",16
-97.1,18.85,VER,ORZVC,"Observatorio de Orizaba, Ver.",32.7
-96.97,19.55,VER,OTIVC,"Otilpan, Ver.",22
-96.399444,18.837778,VER,PARVC,"Paso Real Protección Civil, Ver.",2.44
-96.918056,19.48,VER,PAVVC,"Pacho Viejo, Ver.",16.56
-94.3775,18.103611,VER,PB3VC,"Planta de Bombeo 3 de La Cangrejera, Ver.",35.01
-94.193611,17.872778,VER,PCNVC,"Planta de Bombeo 1 de La Cangrejera, Ver.",30.01
-97.814444,21.184444,VER,PEMVC,"El Moralillo, Ver.",0
-97.268333,19.545,VER,PEROTESMN,"Perote, Ver. SMN*",9.4
-96.979722,19.588611,VER,PILVC,"Piletas, Ver.",16.82
-98.176667,22.06,VER,PNCVC,"Pánuco, Ver.",10
-97.475,20.543333,VER,POZARICA,"Poza Rica, Ver. SGT*",18
-97.316667,20.45,VER,PPNVC,"Papantla, Ver.",21.48
-97.478333,20.540833,VER,PRCVC,"Poza Rica, Ver.",13.01
-98.356667,21.297778,VER,PSNVC,"Platón Sánchez, Ver.",15
-96.665,19.043333,VER,PTE4CAMINOS,"Puente Cuatro Caminos, Ver. SGT*",11.3
-96.795278,18.888056,VER,PTNVC,"Potrero Nuevo, Ver.",9.82
-97.809722,20.887222,VER,SBTVC,"Sombrerete, Ver.",16.75
-96.921389,19.578611,VER,SEDVC,"Sedeño, Ver.",22.01
-95.183333,18.45,VER,SIHVC,"Sihuapán, Ver.",0
-95.133333,17.883333,VER,SJEVC,"San Juan Evangelista, Ver.",8.71
-97.293056,19.696944,VER,SNTVC,"Santa Ana Protección Civil, Ver.",14.43
-95.033333,18.516667,VER,SONVC,"Sontecomapan, Ver.",37.52
-96.488889,19.338889,VER,TAMVC,"Tamarindo, Ver.",50
-96.966667,19.45,VER,TAPVC,"Tapachapan, Ver.",34.5
-97.125278,18.579722,VER,TLQVC,"Tlaquilpa, Ver.",3.5
-94.163333,17.571944,VER,TMOVC,"Tierra Morada, Ver.",35
-98.409444,21.499722,VER,TMPVC,"Tempoal, Ver.",15
-96.916667,19.811111,VER,TNCVC,"Tenochtitlán, Ver.",72.9
-97.2225,19.921944,VER,TOMVC,"Tomata, Ver.",39.22
-96.950278,19.233611,VER,TOTVC,"Totutla, Ver.",13.92
-98.153056,21.039722,VER,TRRVC,"Terrerillos, Ver.",9.4
-94.930556,18.375833,VER,TUXTLASII,"Los Tuxtlas 2, Ver. SMN*",6.4
-97.4,20.955556,VER,TXPVC,"Observatorio de Tuxpan, Ver.",76.1
-95.416667,18.466667,VER,TZAVC,"Tres Zapotes, Ver.",18.5
-96.111111,19.154167,VER,VERVC,"Observatorio de Veracruz, Ver.",0.4
-96.613889,19.022222,VER,VTEVC,"Villa Tejeda, Ver.",0
-96.927778,19.542222,VER,XBMVC,"Xalapa Bomberos Protección Civil, Ver.",10.4
-96.929167,19.511944,VER,XBSVC,"Xalapa Base Protección Civil, Ver.",35.6
-96.85,19.55,VER,XCFVC,"Xalapa CFE, Ver.",31.92
